Plant State,"Elec Fuel Consumption
MMBtu"
AK,"29,007"
AK,"3,373"
AK,672
AK,174
AL,"473,183"
AL,"755,348"
AL,"44,963,757"
AL,"16,326,274"
AL,"6,822,871"
AL,0
AL,"1,755,486"
AL,0
TX,0
TX,"914,423"
AL,"12,437"
AL,"1,097,467"
AL,"13,638,918"
AL,"671,222"
AL,"527,130"
AL,"898,385"
AL,"1,172,054"
AL,"1,551,357"
AL,"1,114,256"
AL,"1,396,935"
AL,"796,330"
AL,"758,127"
AL,"625,088"
AL,"405,268"
AL,"3,376"
AL,"18,557,366"
AL,"18,414,561"
MN,"1,135"
MN,0
CA,"249,394"
AL,"1,075,738"
AL,"102,564,495"
AL,"107,203,558"
AL,"112,360,276"
AL,0
AL,"3,852,481"
AL,"1,546,909"
AL,"3,659,890"
AL,"15,417"
KY,"6,005"
KY,"5,302,682"
AL,"55,045"
AL,0
AL,"8,697,144"
NE,"11,930"
NE,"4,070,132"
NE,"27,407"
NE,0
NE,"11,707,795"
AK,"28,859"
AK,"31,007"
AK,127
AK,"2,844"
AK,"1,900"
AK,"98,303"
AK,"6,630"
AK,"21,383"
AK,"5,189"
AK,"240,865"
AK,"469,718"
CA,0
AK,0
AK,"414,138"
AK,0
AK,"674,850"
AK,"1,030,723"
AK,0
AK,0
AK,"1,801,878"
AK,0
AK,"76,507"
AK,"305,265"
NY,"37,539"
AK,166
AK,"7,610"
AK,"8,101"
AK,"273,964"
AK,"6,586"
AK,"108,333"
WA,"118,203"
WA,"2,201,375"
AZ,0
CA,0
KS,"153,726"
KS,"17,424,366"
AK,"179,240"
AZ,0
AZ,"17,193"
AZ,"1,941"
AZ,"19,039,482"
AZ,"1,607"
AZ,"6,256,542"
AZ,0
AZ,"9,808,164"
AZ,0
AZ,"16,492,508"
AZ,"312,114"
AZ,0
AZ,"2,410,011"
AZ,0
AZ,"8,506"
AZ,"2,702,789"
AZ,"15,679"
AZ,0
AZ,"18,504"
AZ,0
AZ,"6,745"
AZ,"5,304,666"
AZ,0
AZ,"9,349,019"
AZ,0
SC,"86,205,906"
SC,"318,776"
SC,0
FL,0
FL,"38,023,656"
FL,"41,402,133"
FL,"192,301"
AZ,0
AZ,0
AZ,"255,227"
AZ,0
AZ,0
AZ,"1,539,620"
AZ,"75,950"
AZ,0
AZ,"164,668"
AZ,"9,135,998"
AZ,"2,106"
AZ,"70,882"
AZ,"59,357"
AZ,0
AZ,"337,532"
AZ,"119,482"
CA,"11,309"
CA,"17,719"
AZ,"3,101,311"
AZ,"11,475,085"
NV,"4,250,371"
UT,0
AZ,0
AZ,"3,324,700"
AZ,0
AZ,"13,490,759"
AZ,"5,714,190"
CA,"19,475"
CA,"10,252"
OK,0
OK,"18,930,259"
OK,"644,365"
OK,"8,976,071"
AR,"513,971"
AR,"1,830,033"
AR,0
AR,"135,323"
CA,"10,675"
AR,"401,472"
AR,"343,015"
AR,0
AR,"715,377"
AR,0
AR,0
AR,"159,494"
AR,"338,724"
AR,"801,444"
AR,"2,560,538"
AR,"1,454,193"
AR,0
AR,0
AR,0
AR,"3,561,063"
AR,0
AR,"509,249"
AR,0
IL,"84,676,209"
KS,"107,672,537"
CA,"8,613"
CA,"24,707"
CA,"629,037"
CA,"1,670,866"
CA,"777,206"
CA,"246,407"
CA,"500,016"
CA,"675,386"
CA,"1,480,885"
CA,"148,395"
CA,"116,378"
CA,"5,732"
CA,"415,275"
CA,"161,040"
CA,"34,814"
CA,"300,918"
CA,"924,759"
CA,"382,327"
CA,"344,717"
CA,"1,342,721"
CA,"1,704,951"
CA,0
CA,"77,680"
CA,"23,700"
CA,"14,266"
CA,"3,711,422"
CA,0
CA,"1,331,120"
CA,0
CA,"705,104"
CA,"39,900"
CA,0
CA,0
CA,"38,082,635"
CA,"60,590"
CA,"250,610"
CA,"22,769"
CA,"666,258"
CA,"1,178,667"
CA,"1,379,089"
CA,"2,388,787"
CA,"873,788"
CA,"937,285"
CA,"2,213,267"
CA,0
CA,"1,634,095"
CA,"1,119"
CA,"685,290"
CA,"60,938"
CA,"124,754"
CA,"7,667"
CA,"62,552"
CA,"105,979"
CA,"1,141,267"
CA,"15,352,675"
CA,"839,307"
CA,"6,142"
CA,"279,351"
CA,"220,508"
CA,"55,015"
CA,"243,658"
CA,"144,945"
CA,"22,767"
CA,"278,094"
TX,0
TX,"461,696"
TX,0
TX,"73,661,022"
UT,"846,862"
AK,"142,550"
CA,"31,534"
CA,"8,489,242"
CA,0
CA,"1,343,650"
CA,"1,010,545"
CA,"1,289,770"
CA,"1,537,814"
CA,"521,622"
CA,"1,726,634"
CA,"121,580"
CA,"89,469"
CA,"169,991"
CA,"46,751"
CA,"32,837"
CA,"21,103"
CA,"1,917,060"
CA,"2,491"
CA,0
CA,0
CA,"629,613"
CA,"569,794"
CA,"173,436"
CA,"38,703"
CA,"1,533,096"
CA,"3,187,555"
CA,"121,817"
CA,"72,342"
CA,"4,857,379"
CA,"137,849"
CA,"673,330"
CA,"19,929,802"
CA,57
CA,"1,719"
WA,"88,160,718"
CA,"619,674"
CA,0
CA,98
CA,"258,053"
CA,0
CA,"117,161"
MN,"5,489"
CA,"2,002,229"
CA,"1,039,537"
CA,"1,616,931"
IL,"7,784,375"
IL,0
CA,"118,676"
CA,"94,301"
CA,"272,423"
CA,"48,948"
CA,0
CA,0
CA,0
CA,0
CA,"7,703,475"
CA,"1,759,691"
CA,0
AK,"129,418"
CA,"30,639"
CA,0
CA,0
CA,"310,782"
CA,"4,394"
CA,"109,802"
CA,0
CA,0
CA,0
CA,"154,180"
CA,0
CA,0
CA,"1,066,635"
CA,0
CA,0
CA,"407,468"
CA,0
CA,0
CA,0
CA,0
CA,0
