Plant State,"Elec Fuel Consumption
MMBtu"
CA,"235,905"
CA,"291,364"
AK,114
CA,"2,125"
CA,"32,711"
CA,"1,861"
CA,"25,371"
CA,"12,734"
CA,"721,158"
CA,"1,179,307"
CA,"107,789"
CA,"66,021"
CA,"1,043,405"
CA,"406,321"
CA,"3,170,602"
CA,0
CA,"532,508"
CA,0
CA,"565,147"
CA,"20,411"
CA,"1,418,116"
CA,"375,976"
CA,"578,391"
CA,"157,232"
CA,"2,613,391"
CA,0
CA,"1,451,674"
CA,0
CA,"106,942"
CA,"434,620"
CA,"2,114,916"
CA,"182,072"
CA,"1,423"
CO,139
CO,0
CO,"24,671"
CO,"293,795"
CO,"36,302"
CO,0
CO,0
CO,"14,894,866"
CO,0
CO,"14,469,199"
CO,"1,867,899"
CO,"59,864,668"
CO,"2,925"
CO,"22,391"
CO,861
CO,"5,391"
CO,"221,853"
CO,"64,780"
CA,"27,881"
CA,"28,071"
CA,0
CA,"8,202"
CA,0
CA,"62,852"
CA,"3,736"
CA,"21,734"
CO,0
CO,"2,615,495"
CO,0
CO,"2,189"
CO,"153,831"
CO,"61,764"
CO,"4,735"
CO,78
CO,0
CO,0
WY,"208,788"
CO,0
CO,0
CO,0
CO,0
CO,0
CO,"42,845"
CA,"870,076"
CO,0
CO,162
CO,0
CO,"419,429"
CO,"264,530"
CO,"707,702"
CO,"18,228"
CO,"81,970"
CO,"77,422"
CO,"627,795"
CO,0
CO,"503,201"
CO,"41,482"
CO,"71,158"
CO,"31,417,301"
CO,"11,712"
CO,"24,521"
CA,"21,971"
AL,0
AL,0
AL,638
AL,"29,699,886"
CA,"31,906"
CA,"46,213"
CA,"37,781"
CT,0
CT,0
CT,"2,625"
CT,"114,478"
CT,0
CT,"20,424"
CT,0
CT,0
CT,"37,899"
CT,"4,712"
CT,0
CT,"1,833"
CT,"15,944"
CT,"405,176"
CT,"1,170,351"
MA,0
WA,"47,513"
WA,"11,795"
WA,"4,524,942"
CT,"19,926"
CT,"340,260"
CT,"210,015"
CT,"11,632"
CT,0
CT,"2,280"
CT,"24,392"
CT,"86,013"
CT,"124,010"
CT,0
CT,"6,082"
CT,"8,164"
CT,0
CT,"1,577"
CT,0
CT,"954,505"
CT,"1,519,003"
CT,"27,038"
FL,0
FL,"2,406,037"
FL,0
FL,"11,719,516"
FL,"34,068,319"
FL,"249,595"
FL,"8,505,485"
CT,0
CT,"3,198"
CT,"77,616,216"
CT,"94,395,127"
CT,"6,188,425"
CT,0
CT,"15,192,384"
CT,0
CT,0
CT,0
NY,"25,898"
CT,"5,410"
CT,"12,314"
NM,"263,887"
CA,"22,317"
CA,"10,713"
VT,0
VT,"8,487"
VT,"3,346,510"
DE,"35,022"
DE,135
DE,"6,673"
DE,511
DE,"3,896,628"
DE,"306,256"
DE,"16,360"
DE,0
DE,0
DE,"1,845,687"
DE,"75,931"
DE,"2,459"
MD,"24,581,415"
MD,"311,671"
MD,0
WA,"32,535"
WA,"3,247,248"
FL,0
FL,0
FL,"84,517"
FL,"36,147,189"
FL,0
FL,"1,342,295"
FL,0
FL,"71,846,308"
FL,"705,436"
FL,"2,494,166"
FL,"253,617"
FL,"3,331,943"
FL,0
FL,0
FL,"27,034"
FL,"49,087,586"
FL,0
FL,0
FL,0
FL,0
FL,"74,797"
FL,"45,204,991"
FL,0
FL,0
FL,0
FL,"66,965,397"
FL,0
FL,0
FL,"47,295"
FL,"44,995,249"
FL,0
FL,"79,094,127"
FL,"72,172,182"
FL,0
WA,"199,517"
NY,"141,712"
CA,0
FL,"45,305"
FL,"2,613,636"
FL,"74,724,623"
FL,"48,050,193"
FL,"276,800"
CA,"33,360"
FL,"13,304"
FL,"1,567,702"
FL,"639,720"
FL,"48,545,754"
FL,0
FL,"124,403"
FL,"307,156"
FL,"3,210"
FL,"1,162,250"
FL,0
FL,"492,097"
FL,"2,405,087"
FL,0
FL,"1,360"
FL,"15,194,681"
FL,0
FL,"31,913,150"
FL,429
FL,0
FL,0
FL,"9,304,591"
FL,0
FL,"48,957"
FL,"98,753"
FL,"13,188,306"
FL,0
FL,"6,337,706"
FL,0
GA,"105,954,111"
