Plant State,"Elec Fuel Consumption
MMBtu"
AK,"28,934"
AK,"9,101"
AL,0
AL,"1,499,638"
AL,"55,606,180"
AL,"41,521,966"
AL,"1,662,458"
AL,0
AL,"6,444,458"
AL,"1,981,699"
AL,"4,840,441"
AL,"12,615"
TX,0
TX,"688,550"
AL,"1,452"
AL,"605,246"
AL,"18,177,517"
AL,"2,241,218"
AL,"1,511,275"
AL,"3,560,726"
AL,"3,971,985"
AL,"5,942,154"
AL,"3,667,033"
AL,"4,801,246"
AL,"3,653,151"
AL,"2,135,091"
AL,"2,422,402"
AL,"1,386,829"
AL,"3,774"
AL,"28,914,596"
AL,"30,638,807"
MN,"1,041"
MN,0
CA,"676,122"
AL,"2,600,866"
AL,"88,218,763"
AL,"112,323,890"
AL,"107,693,584"
AL,0
AL,"42,972"
AL,"5,944,293"
AL,"14,517,820"
LA,"14,688,173"
LA,"152,502"
LA,0
AL,"26,743"
KY,"2,397"
KY,"4,573,169"
AL,"95,299"
AL,"11,098,392"
AL,"90,834"
NE,"5,534"
NE,"6,083,707"
NE,"23,712"
NE,"14,524,846"
NE,"15,479,947"
AK,"238,306"
AK,"3,258"
AK,79
AK,"4,782"
AK,"18,739"
AK,"205,697"
AK,"17,204"
AK,"6,867"
AK,"2,468"
AK,"484,121"
AK,"1,111,006"
CA,0
AK,802
AK,"226,600"
AK,93
AK,"1,700,597"
AK,"2,125,694"
AK,0
AK,0
AK,"2,358,044"
AK,0
AK,"176,454"
AK,"261,020"
NM,"40,016"
NM,"12,363,506"
NY,"92,941"
AK,"252,833"
AK,"21,978"
AK,"85,469"
AK,"48,268"
AK,"4,946"
AK,"529,473"
AK,"5,353"
AK,"1,161,053"
WA,"2,553"
WA,"1,217,769"
AZ,0
CA,0
KS,"148,046"
KS,"16,894,497"
AK,"189,681"
AZ,0
AZ,"45,266"
AZ,"2,200"
AZ,"30,875,637"
AZ,"2,858"
AZ,"6,335,291"
AZ,0
AZ,0
AZ,"8,326,726"
AZ,0
AZ,"16,663,191"
AZ,0
AZ,"1,222,711"
AZ,0
AZ,"1,531,912"
AZ,0
AZ,"34,926"
AZ,"1,861,233"
AZ,"2,944,351"
AZ,0
AZ,"230,380"
AZ,0
AZ,0
AZ,"1,833,088"
AZ,"73,126"
AZ,0
AZ,0
AZ,0
AZ,0
AZ,0
AZ,"15,185,441"
AZ,"2,455,326"
AZ,0
AZ,0
AZ,0
AZ,0
TX,0
TX,"65,241"
TX,"27,796,356"
SC,0
SC,"257,893"
SC,0
SC,"85,155,679"
FL,"70,415,714"
FL,"180,112"
AZ,"1,077"
AZ,"179,973"
AZ,"1,211"
AZ,0
AZ,"2,663,382"
AZ,"32,459"
AZ,0
AZ,"292,151"
AZ,"10,346,702"
AZ,0
AZ,"15,758"
AZ,"12,067"
AZ,0
AZ,"404,037"
AZ,0
CA,"25,288"
CA,"22,651"
AZ,"9,203,930"
AZ,"34,660,974"
NV,"19,374,743"
UT,"35,140"
AZ,0
AZ,"708,616"
AZ,"414,845"
AZ,"15,571,091"
AZ,"5,722,341"
CA,"70,235"
CA,"37,161"
OK,0
OK,"15,148,634"
OK,"128,057"
OK,"1,456,046"
AR,"677,733"
