Plant State,"Elec Fuel Consumption
MMBtu"
AK,"3,043"
AL,"1,220,102"
AL,"1,243,854"
AL,"53,006,762"
AL,"26,188,716"
AL,"1,621,910"
AL,0
AL,"4,862,292"
AL,"626,712"
TX,0
TX,"665,721"
AL,"1,829"
AL,"674,593"
AL,"11,106,229"
AL,"2,361,550"
AL,"1,634,091"
AL,"5,146,878"
AL,"4,292,954"
AL,"6,161,703"
AL,"4,677,082"
AL,"5,656,075"
AL,"3,445,283"
AL,"2,630,118"
AL,"2,554,739"
AL,"1,719,804"
AL,"3,432"
AL,"25,074,442"
AL,"15,534,485"
MN,744
MN,0
CA,"418,220"
AL,"3,107,490"
AL,"99,255,722"
AL,"105,493,119"
AL,"95,832,617"
AL,"2,506"
AL,"52,807"
AL,"8,249,739"
AL,"20,076,824"
LA,"8,208,023"
LA,"376,410"
LA,0
AL,"55,144"
KY,0
KY,"4,743"
KY,"4,123,451"
AL,"48,542"
AL,"4,130,585"
AL,"32,633"
NE,"8,875"
NE,"4,296,041"
NE,"26,309"
NE,"4,710,505"
NE,"8,256,460"
AK,"227,609"
AK,0
AK,82
AK,"2,988"
AK,"2,266"
AK,"241,609"
AK,"18,692"
AK,"14,441"
AK,"4,561"
AK,"636,905"
AK,"1,108,315"
CA,0
AK,"1,845"
AK,"113,093"
AK,87
AK,"1,491,977"
AK,"2,482,788"
AK,0
AK,0
AK,"2,374,206"
AK,0
AK,"212,180"
AK,"12,623"
NM,"87,304"
NM,"6,355,011"
NY,"60,354"
AK,"257,317"
AK,"20,891"
AK,"116,366"
AK,"8,787"
AK,"5,207"
AK,"351,043"
WA,"1,640"
WA,"466,076"
AZ,"12,564"
CA,0
KS,"141,388"
KS,"15,509,689"
AK,"172,975"
AZ,0
AZ,"34,231"
AZ,"1,269"
AZ,"34,981,604"
AZ,831
AZ,"7,370,739"
AZ,0
AZ,"9,894,529"
AZ,0
AZ,"20,200,580"
AZ,"624,483"
AZ,0
AZ,"1,529,151"
AZ,0
AZ,"52,570"
AZ,"1,911,314"
AZ,"2,726,959"
AZ,0
AZ,"21,867"
AZ,0
AZ,"126,478"
AZ,"5,249,288"
AZ,0
AZ,0
AZ,"10,261,239"
AZ,0
AZ,0
TX,0
TX,"33,685"
TX,"12,215,479"
SC,0
SC,"162,464"
SC,0
SC,"64,350,773"
FL,"66,722,334"
FL,"215,338"
AZ,"1,334"
AZ,"184,531"
AZ,0
AZ,0
AZ,"3,567,304"
AZ,"40,355"
AZ,0
AZ,"239,803"
AZ,"11,794,393"
AZ,0
AZ,"10,626"
AZ,"26,503"
AZ,0
AZ,"555,679"
AZ,"178,322"
CA,"12,122"
CA,"25,554"
AZ,"9,422,667"
AZ,"31,550,505"
NV,"16,368,603"
UT,"25,785"
AZ,0
AZ,"1,916,506"
AZ,"110,513"
AZ,"17,068,530"
AZ,"5,469,762"
CA,965
CA,"31,972"
OK,0
OK,"16,964,140"
OK,"137,442"
OK,"1,011,455"
AR,"1,361,918"
AR,"5,268,517"
AR,0
AR,"475,348"
CA,"12,492"
AR,"1,719,237"
AR,"710,881"
AR,0
AR,"2,221,234"
AR,0
AR,0
AR,"585,619"
AR,"3,273,642"
AR,"2,885,903"
AR,"13,493,185"
AR,"4,252,899"
AR,0
AR,0
AR,0
AR,"3,724,731"
AR,"21,055"
AR,"21,658"
AR,"487,922"
AR,0
IL,"98,844,870"
KS,"110,544,377"
CA,"21,358"
CA,"47,526"
CA,"400,856"
CA,"2,207,338"
CA,"2,168,957"
CA,"324,238"
CA,"952,755"
CA,"853,686"
CA,"3,018,951"
CA,"178,496"
CA,"254,234"
CA,"37,103"
CA,"1,427,881"
CA,"296,753"
CA,"158,629"
CA,"142,553"
CA,"1,893,901"
CA,"808,940"
CA,"561,291"
CA,"2,508,755"
CA,"1,792,605"
CA,"299,902"
CA,0
CA,"283,552"
CA,"294,406"
CA,"31,094"
CA,"4,238,080"
CA,0
CA,0
CA,"3,941,739"
CA,0
CA,"620,284"
CA,0
CA,"62,385"
CA,0
CA,"36,875,547"
CA,"120,670"
CA,"215,300"
CA,"53,164"
CA,"1,741,713"
CA,"2,286,828"
CA,"2,901,307"
