Plant State,"Elec Fuel Consumption
MMBtu"
AL,0
AL,"806,182"
AL,"45,963,399"
AL,0
AL,"32,824,330"
AL,"1,507,899"
AL,"4,082,984"
AL,"6,262,832"
AL,"2,195,375"
AL,"53,401,128"
AL,"72,825"
TX,0
TX,"780,895"
AL,"148,849"
AL,"591,233"
AL,0
AL,"12,153,307"
AL,0
AL,"2,301,820"
AL,"1,536,910"
AL,"3,966,858"
AL,"4,054,767"
AL,"6,236,896"
AL,"3,173,016"
AL,"4,946,248"
AL,"2,165,705"
AL,"1,903,618"
AL,"2,557,713"
AL,"1,301,800"
AL,"3,975"
AL,"29,319,309"
AL,"34,184,135"
MN,154
MN,0
CA,"558,238"
AL,"2,617,447"
AL,"98,875,245"
AL,"84,673,423"
AL,"81,976,205"
AL,0
AL,"893,601"
AL,"6,679,195"
AL,"14,783,304"
LA,"17,559,770"
LA,"787,468"
LA,0
AL,"8,228"
KY,"45,264"
KY,"5,093,525"
AL,"126,365"
AL,"14,703,184"
AL,"168,260"
NE,"9,137"
NE,"6,325,030"
NE,"22,209"
NE,"8,673,930"
NE,"15,035,320"
AK,"242,685"
AK,"37,289"
AK,96
AK,"3,490"
AK,"2,586"
AK,"222,039"
AK,"18,099"
AK,852
AK,"15,110"
AK,"531,819"
AK,"1,110,405"
CA,0
AK,"1,003"
AK,"386,419"
AK,95
AK,"1,530,519"
AK,"2,365,729"
AK,0
AK,0
AK,"2,244,198"
AK,0
AK,"143,306"
AK,"187,638"
NM,"104,237"
NM,"13,239,751"
NY,"115,274"
AK,"256,894"
AK,"18,608"
AK,"81,078"
AK,"4,381"
AK,"1,909"
AK,"511,371"
AK,"5,315"
AK,"706,081"
WA,741
WA,"853,368"
AZ,0
CA,0
KS,"133,230"
KS,"15,996,142"
AK,"183,675"
AZ,0
AZ,"28,336"
AZ,"1,311"
AZ,"39,606,857"
AZ,"3,923"
AZ,"502,352"
AZ,"2,794,126"
AZ,0
AZ,"7,448,213"
AZ,0
AZ,0
AZ,"17,588,302"
AZ,"559,532"
AZ,0
AZ,"1,472,436"
AZ,0
AZ,"38,453"
AZ,"2,003,899"
AZ,"3,085,496"
AZ,0
AZ,"85,369"
AZ,0
AZ,"226,963"
AZ,0
AZ,0
AZ,"15,916,283"
AZ,0
AZ,0
TX,0
TX,"47,547"
TX,"34,693,730"
SC,"2,432,094"
SC,"213,670"
SC,0
SC,"93,436,018"
FL,"77,020,036"
FL,"202,819"
AZ,0
AZ,"105,809"
AZ,"2,558"
AZ,0
AZ,"1,847,421"
AZ,"273,765"
AZ,0
AZ,"160,199"
AZ,"6,181,179"
AZ,0
AZ,"44,469"
AZ,"108,920"
AZ,0
AZ,"530,525"
AZ,"234,245"
CA,"27,617"
CA,"26,144"
AZ,"10,044,542"
AZ,"36,038,210"
NV,"16,520,537"
UT,"25,064"
AZ,0
AZ,"739,070"
AZ,"537,255"
AZ,"12,350,811"
AZ,"6,502,907"
CA,"80,451"
CA,"41,850"
OK,0
OK,0
OK,"15,751,565"
OK,"654,419"
OK,"5,605,261"
AR,"1,129,597"
AR,"3,498,735"
AR,0
AR,"348,792"
CA,"48,505"
AR,"1,086,835"
AR,"338,441"
AR,0
AR,"1,829,494"
AR,0
AR,0
AR,"187,915"
AR,"1,453,281"
AR,"1,665,676"
AR,"5,668,424"
AR,"5,729,830"
AR,0
AR,0
AR,0
AR,"2,503,264"
AR,"181,009"
AR,0
AR,"760,049"
AR,0
IL,"87,261,669"
FL,0
FL,0
FL,0
KS,"95,932,284"
CA,"31,297"
CA,"53,041"
CA,"750,536"
CA,"3,673,057"
CA,"2,128,524"
CA,"1,192,877"
CA,"532,036"
CA,"1,041,215"
CA,"3,262,938"
CA,"248,083"
CA,"412,440"
CA,"34,458"
CA,"1,729,914"
CA,"543,117"
CA,"191,276"
CA,"782,072"
CA,"2,105,236"
CA,"633,265"
CA,"538,821"
CA,"2,881,735"
CA,"3,289,603"
CA,"346,080"
CA,"41,040"
CA,"284,819"
CA,"382,359"
CA,"15,812"
CA,"3,356,863"
CA,0
CA,0
CA,"4,950,855"
CA,0
CA,"76,028"
CA,"1,221,521"
CA,"27,584"
CA,"88,101"
CA,0
CA,"29,433,380"
CA,0
CA,"129,159"
CA,"208,327"
CA,"51,611"
CA,"2,067,310"
CA,"2,347,202"
CA,"3,615,991"
CA,"5,579,468"
CA,"2,444,524"
CA,"3,286,618"
CA,"4,062,778"
CA,"119,380"
CA,"3,021,909"
CA,"3,231"
CA,0
CA,"1,144,672"
CA,"228,410"
CA,"40,932"
CA,"81,089"
CA,281
CA,"272,937"
CA,"3,033,999"
CA,"42,554,900"
CA,"2,070,677"
CA,10
CA,"448,918"
CA,"628,522"
CA,"597,287"
CA,"233,536"
CA,"672,931"
CA,"844,123"
CA,"35,787"
CA,"810,139"
TX,0
TX,"554,922"
TX,0
TX,"100,671,528"
UT,"2,030,657"
CA,"40,161"
CA,"4,468,913"
CA,0
AK,"475,866"
CA,"102,548"
CA,"12,353,001"
CA,0
CA,"3,138,759"
CA,"2,928,984"
CA,"6,179,513"
CA,"2,546,626"
CA,"2,235,816"
CA,"4,071,308"
CA,"254,347"
CA,"256,012"
CA,"432,722"
CA,"148,141"
CA,"53,440"
CA,0
CA,0
CA,"23,170"
CA,"3,685,102"
CA,"55,045"
CA,"40,640"
CA,"107,373"
CA,"1,093,571"
CA,"1,459,843"
CA,"385,250"
CA,"82,256"
CA,"4,036,978"
CA,"1,550"
CA,0
CA,"2,218,447"
CA,"128,885"
CA,"88,464"
CA,"3,585,265"
CA,"199,878"
CA,"122,442"
CA,"16,611,441"
CA,"5,078"
CA,"26,556"
CA,0
WA,"101,498,339"
CA,"923,965"
CA,0
CA,"38,397"
CA,"181,400"
CA,"277,471"
CA,"1,378,631"
MN,"29,488"
CA,"2,258,784"
CA,"3,006,658"
CA,"3,982,189"
IL,"6,651,440"
IL,0
CA,"395,423"
CA,"381,494"
CA,"29,892"
CA,"289,171"
CA,0
CA,0
CA,0
CA,0
CA,"6,134,137"
CA,"34,863"
CA,0
AK,"383,159"
CA,"117,289"
CA,0
CA,0
CA,"318,505"
CA,"25,265"
CA,0
CA,0
CA,"4,660"
CA,0
CA,0
CA,0
CA,0
CA,"429,748"
CA,0
CA,0
CA,"106,473"
CA,0
CA,0
CA,"654,297"
CA,0
CA,0
CA,"19,139,925"
CA,0
CA,"2,679,181"
CA,0
CA,"831,552"
CA,0
CA,0
CA,"686,260"
CA,"66,368"
CA,"164,655"
CA,"29,793"
CA,0
CA,"11,504,218"
CA,0
CA,"600,785"
CA,0
CA,"1,305,429"
CA,0
AK,"89,724"
CA,"686,569"
CA,0
CA,"207,992"
CA,0
CA,"2,187"
CA,"10,608,815"
CA,0
CA,148
CA,"37,011"
CA,0
CA,"2,187,437"
CA,"267,502"
CA,"1,129,097"
CA,"624,145"
CA,"486,655"
CA,"1,176,219"
CA,"1,028,106"
CA,"767,238"
CA,"286,657"
CA,"1,247,649"
AK,"24,257"
CA,0
CA,"356,649"
CA,"809,643"
AK,282
CA,"346,483"
CA,"4,110,492"
CA,"237,323"
CA,"2,956,297"
CA,"47,422"
CA,"2,650,766"
CA,"3,593,377"
CA,"497,032"
CA,"261,193"
CA,"3,542,939"
CA,"7,168,663"
CA,"11,756,786"
CA,0
CA,"2,674,565"
CA,"76,237"
CA,"5,310,984"
CA,"1,906,304"
CA,"2,960,676"
CA,"541,342"
CA,"15,833,348"
CA,0
CA,"3,972,676"
CA,0
CA,"1,175,847"
CA,"2,507,433"
CA,"9,928,939"
CA,"1,743,782"
CA,"1,209"
CO,463
CO,0
CO,"11,678"
CO,"127,102"
CO,"111,805"
CO,0
CO,0
CO,"19,322,869"
CO,0
CO,"12,142,942"
CO,"2,278,797"
CO,"102,704,486"
CO,"26,592"
CO,"53,131"
CO,"17,809"
CO,"771,454"
CO,"68,383"
CO,0
CA,"45,502"
CA,"59,476"
CA,"134,849"
CA,"27,886"
CA,0
CA,"181,397"
CA,0
CA,"101,290"
CO,0
CO,0
CO,0
CO,"72,709"
CO,"10,723,090"
CO,0
CO,"63,763"
CO,"142,149"
CO,0
CO,196
CO,0
CO,0
WY,"671,840"
CO,25
CO,0
CO,0
CO,0
CO,0
CO,0
CO,0
CO,"96,466"
CA,"3,998,175"
CO,0
CO,284
CO,5
CO,0
CO,"2,167,927"
CO,"1,139,348"
CO,"2,926,453"
CO,"11,389"
CO,"291,638"
CO,"400,996"
CO,"2,180,243"
CO,0
CO,"1,577,250"
CO,"76,383"
CO,"131,151"
CO,"25,254,591"
CO,"12,096"
CO,"16,113"
CO,0
CO,"791,233"
CO,"21,996"
CA,"230,924"
AL,0
AL,0
AL,386
AL,"29,697,982"
CA,"129,732"
CA,"89,438"
CA,"219,460"
CT,0
CT,0
CT,"5,305"
CT,"437,319"
CT,0
CT,"32,488"
CT,0
CT,0
CT,"46,764"
CT,"86,523"
CT,0
CT,"1,713"
CT,"2,714"
CT,"141,093"
CT,"800,203"
MA,0
WA,"96,261"
WA,"3,853"
WA,"4,908,569"
CT,"74,862"
CT,"1,709,868"
CT,"1,257,044"
CT,"65,485"
CT,0
CT,"4,380"
CT,"97,323"
CT,"353,155"
CT,"411,710"
CT,0
CT,"5,789"
CT,"4,788"
CT,"1,160"
CT,"3,678,824"
CT,"847,222"
CT,"20,599"
FL,0
FL,"443,672"
FL,0
FL,"10,958,715"
FL,"46,891,247"
FL,"658,345"
FL,"1,038,618"
CT,0
CT,"5,455"
CT,"112,220,229"
CT,"64,269,838"
CT,"3,872"
CT,"71,306"
CT,0
CT,0
CT,0
CT,"4,023,342"
NY,"69,373"
CT,"4,158"
CT,"23,834"
NM,"728,320"
CA,"15,149"
CA,"36,844"
VT,0
VT,"11,481"
VT,"3,670,793"
DE,"27,250"
DE,"1,555"
DE,"1,357"
DE,694
DE,"2,942,387"
DE,"687,745"
DE,"15,391"
DE,0
DE,0
DE,"4,296,489"
DE,"140,547"
DE,0
DE,0
DE,"10,681"
DE,"43,530"
DE,"284,790"
MD,"53,424,800"
MD,"306,851"
MD,0
WA,"16,450"
WA,"1,712,570"
FL,0
FL,0
FL,"48,075"
FL,"49,039,477"
FL,0
FL,0
FL,0
FL,"64,886,662"
FL,"191,317"
FL,"2,315,369"
FL,0
FL,0
FL,"1,214"
FL,"22,269,152"
FL,0
FL,"314,151"
FL,"2,738,136"
FL,0
FL,0
FL,"80,512"
FL,"46,594,261"
FL,0
FL,"4,418"
FL,0
FL,0
FL,"44,520"
FL,"44,274,350"
FL,0
FL,0
FL,0
FL,0
FL,"73,497,554"
FL,0
FL,0
FL,"98,789"
FL,"43,321,959"
FL,0
FL,"67,567,601"
FL,"76,236,834"
FL,0
WA,"530,471"
FL,431
FL,"17,503"
NY,"633,737"
CA,"21,512"
FL,"110,367"
FL,"73,125"
FL,"9,896,175"
FL,"86,196,554"
FL,"316,901"
FL,0
FL,0
FL,"422,870"
CA,"99,807"
FL,0
FL,"1,571,622"
FL,0
FL,"52,821,281"
FL,0
FL,"25,076"
FL,"408,255"
FL,"24,445"
FL,"605,058"
FL,0
FL,"33,935,378"
FL,"29,894"
FL,"1,421,896"
FL,"2,328,592"
FL,0
FL,"26,382,417"
FL,"16,482"
FL,0
FL,"113,067"
FL,"369,158"
FL,"32,200,794"
FL,0
FL,"20,452,947"
FL,0
GA,"108,016,436"
GA,"100,649,212"
FL,"7,196"
FL,"130,221"
FL,"5,727,989"
FL,"4,231,045"
FL,"23,712"
FL,0
FL,0
FL,0
FL,"5,312,827"
FL,0
FL,"6,225"
FL,4
FL,0
FL,"1,283,580"
FL,"114,794"
FL,"9,045,029"
FL,0
FL,"19,963,179"
FL,"15,864,799"
FL,"253,494"
FL,0
FL,0
FL,0
FL,"64,881"
FL,"17,858"
FL,240
FL,"96,467"
FL,0
FL,0
FL,0
FL,58
FL,0
FL,"925,686"
FL,0
FL,0
FL,454
FL,0
FL,"16,032,978"
FL,"1,362"
FL,"3,247"
FL,0
FL,"17,048,521"
FL,"983,986"
FL,0
VT,"9,132"
CA,"2,973,559"
FL,"1,831"
FL,"338,849"
FL,0
FL,"41,650"
FL,0
FL,"9,644,157"
FL,"11,500"
FL,"2,064,851"
FL,"2,395,750"
FL,0
FL,0
FL,0
FL,0
FL,"9,326,196"
FL,0
FL,"9,464"
FL,"1,921,754"
WY,"158,765"
FL,711
MO,726
AL,"4,483,941"
GA,"133,134,748"
GA,"361,027"
GA,"280,341"
GA,"204,803"
AL,"1,598,637"
GA,"2,325,525"
GA,"85,114"
GA,0
GA,"5,847,160"
GA,0
GA,0
GA,"111,248,212"
GA,"1,250"
GA,0
AL,0
GA,"675,015"
CA,"32,173"
GA,"161,405"
GA,159
GA,"397,918"
GA,"181,179"
GA,"1,378,671"
GA,"2,148,881"
GA,"1,197,230"
GA,"1,937,350"
GA,"485,934"
GA,"1,416,800"
GA,0
GA,0
GA,"13,172,691"
GA,"702,309"
GA,"2,721"
GA,0
GA,"543,846"
CA,"510,169"
CA,0
GA,"411,937"
GA,"2,869"
GA,0
GA,"1,338"
GA,"4,882,950"
GA,"431,793"
GA,"369,431"
GA,"1,909,728"
GA,"1,212,763"
GA,"4,431,590"
OK,0
HI,0
HI,0
HI,"26,098,384"
HI,"527,369"
HI,0
HI,0
HI,"10,602,621"
HI,"9,893"
HI,"9,897"
HI,"5,835"
HI,"139,408"
HI,0
HI,0
HI,"2,143,160"
HI,"39,383"
CA,"177,666"
NE,"708,319"
VT,"53,293"
AK,"72,417"
ID,"1,316,556"
TX,"40,777"
HI,0
HI,6
HI,"325,751"
TX,"43,808"
ME,"1,267,467"
NY,"233,854"
ID,"4,454,294"
ID,"3,218,201"
ID,"22,021,538"
ID,"5,177,007"
ID,"426,787"
ID,"157,325"
ID,"904,345"
ID,"2,980,931"
ID,447
ID,"753,364"
ID,"1,126,411"
ID,"278,247"
ID,"2,385,602"
ID,"1,148,614"
ID,"334,089"
ID,"346,536"
ID,"1,127,914"
ID,"563,529"
ID,"271,202"
ID,"10,553,775"
ID,"659,976"
CA,"40,168"
ID,"14,552,544"
ID,"423,363"
ID,"109,566"
ID,"477,213"
CA,"49,534"
ID,"7,530,901"
