Plant State,"Elec Fuel Consumption
MMBtu"
AL,0
AL,"756,470"
AL,"57,873,437"
AL,"34,013,923"
AL,"1,001,765"
AL,"5,791,798"
AL,0
AL,"2,224,437"
AL,"44,002,263"
AL,"124,103"
TX,0
TX,"357,032"
AL,"18,728"
AL,"842,133"
AL,0
AL,"9,175,786"
AL,0
AL,"1,623,689"
AL,"1,425,094"
AL,"1,952,290"
AL,"2,864,193"
AL,"4,603,449"
AL,"2,933,568"
AL,"3,944,325"
AL,"1,869,466"
AL,"2,004,582"
AL,"1,638,800"
AL,"1,158,866"
AL,"3,429"
AL,"35,956,101"
AL,"15,614,683"
MN,409
MN,0
CA,"800,720"
AL,"3,459,205"
AL,"87,809,241"
AL,"100,941,700"
AL,"102,513,581"
AL,0
AL,0
AL,"268,212"
AL,0
AL,"6,675,021"
AL,"11,936,805"
LA,"22,861,249"
LA,"215,351"
LA,0
AL,"22,885"
KY,"8,032"
KY,"2,175,085"
AL,"122,442"
AL,"15,144,262"
AL,"128,774"
NE,"18,710"
NE,"3,695,381"
NE,"22,878"
NE,"12,677,430"
NE,"1,412,603"
AK,"176,439"
AK,"41,855"
AK,378
AK,"3,079"
AK,"1,722"
AK,"252,094"
AK,"18,729"
AK,"7,442"
AK,"3,065"
AK,"649,646"
AK,"1,262,309"
CA,"20,498"
AK,127
AK,"666,229"
AK,888
AK,"1,098,558"
AK,"2,786,692"
AK,0
AK,0
AK,"2,291,454"
AK,0
AK,"191,428"
AK,"47,399"
NM,"100,093"
NM,"11,784,130"
NY,"122,084"
AK,"261,051"
AK,"17,673"
AK,"108,034"
AK,"10,070"
AK,"1,206"
AK,"543,602"
AK,"10,875"
AK,"1,873,403"
WA,"1,823"
WA,"778,338"
AZ,0
CA,0
KS,"147,335"
KS,"11,066,774"
AK,"177,475"
AZ,0
AZ,"27,245"
AZ,"1,299"
AZ,"39,639,499"
AZ,"9,522"
AZ,"430,947"
AZ,"2,297,091"
AZ,0
AZ,"5,142,644"
AZ,0
AZ,"18,140,590"
AZ,"392,364"
AZ,0
AZ,"747,940"
AZ,0
AZ,"15,109"
AZ,"1,829,039"
AZ,"1,850,492"
AZ,0
AZ,128
AZ,0
AZ,0
AZ,0
AZ,0
AZ,"8,509,812"
AZ,0
AZ,0
TX,"73,473"
TX,"18,196,090"
SC,"324,258"
SC,"188,811"
SC,0
SC,"83,803,004"
FL,"76,230,457"
FL,"171,471"
AZ,"4,849"
AZ,"57,816"
AZ,"1,999"
AZ,0
AZ,"2,388,062"
AZ,"235,973"
AZ,0
AZ,"74,692"
AZ,"7,426,502"
AZ,0
AZ,"60,549"
AZ,"85,543"
AZ,0
AZ,"464,576"
AZ,0
CA,"33,308"
CA,"37,730"
AZ,"9,867,261"
AZ,"36,388,383"
NV,"16,020,329"
UT,"48,664"
AZ,0
AZ,"949,456"
AZ,"6,421,037"
AZ,"1,037,224"
AZ,"11,415,587"
CA,"47,171"
CA,"35,490"
OK,0
OK,0
OK,"1,772,832"
OK,0
OK,0
