Plant State,"Elec Fuel Consumption
MMBtu"
AK,"35,490"
AK,"1,184"
AL,"1,905,404"
AL,"615,384"
AL,"54,874,030"
AL,"37,026,731"
AL,"1,950,436"
AL,0
AL,"3,468,032"
AL,0
TX,0
TX,"571,208"
AL,"37,985"
AL,"809,404"
AL,"7,729,779"
AL,"2,281,582"
AL,"1,928,205"
AL,"5,046,138"
AL,"4,053,834"
AL,"6,365,602"
AL,"3,482,014"
AL,"5,181,045"
AL,"3,430,506"
AL,"2,294,681"
AL,"2,448,153"
AL,"1,366,496"
AL,"3,176"
AL,"30,984,960"
AL,"15,184,965"
MN,197
MN,0
CA,"286,749"
AL,"3,791,254"
AL,"114,325,824"
AL,"113,482,079"
AL,"96,053,102"
AL,0
AL,"243,478"
AL,"5,300,377"
AL,"14,248,559"
LA,"12,064,920"
LA,"1,739,732"
LA,0
AL,"53,234"
KY,"35,461"
KY,"7,311,379"
AL,"169,708"
NE,"5,495"
NE,"4,838,057"
NE,"32,367"
NE,"10,712,269"
NE,"8,144,099"
AK,"229,794"
AK,"47,926"
AK,51
AK,"2,053"
AK,"1,898"
AK,"217,474"
AK,"22,120"
AK,"14,231"
AK,"16,644"
AK,"717,399"
AK,"1,170,353"
CA,0
AK,73
AK,"110,760"
AK,107
AK,"1,238,106"
AK,"2,562,857"
AK,0
AK,0
AK,"2,232,540"
AK,0
AK,"205,369"
AK,"13,828"
NY,"62,829"
AK,"269,127"
AK,"18,837"
AK,"119,571"
AK,"9,048"
AK,"3,641"
AK,"688,401"
AK,"5,525"
AK,"138,262"
WA,"1,064"
WA,"780,563"
AZ,0
CA,0
KS,"166,789"
KS,"17,103,560"
AK,"177,231"
AZ,0
AZ,"18,469"
AZ,"1,649"
AZ,"19,279,682"
AZ,"1,229"
AZ,"6,619,724"
AZ,0
AZ,"8,287,420"
AZ,0
AZ,"15,408,102"
AZ,"242,595"
AZ,0
AZ,"1,069,141"
AZ,0
AZ,"27,857"
AZ,"2,043,563"
AZ,"2,066,485"
AZ,0
AZ,"15,861"
AZ,0
AZ,"114,893"
AZ,"3,358,295"
AZ,0
AZ,"4,975,464"
AZ,0
SC,0
SC,"344,222"
SC,0
SC,"74,712,350"
FL,"66,384,983"
FL,"210,995"
AZ,0
AZ,"6,363"
AZ,"56,995"
AZ,0
AZ,0
AZ,"1,383,766"
AZ,"37,102"
AZ,0
AZ,"190,232"
AZ,"10,132,451"
AZ,0
AZ,"25,933"
AZ,"15,176"
AZ,0
AZ,"567,474"
AZ,"235,357"
CA,"17,289"
CA,"31,245"
AZ,"9,866,554"
AZ,"27,298,722"
NV,"16,849,102"
UT,"15,407"
AZ,0
AZ,"940,207"
AZ,0
AZ,"11,372,755"
AZ,"9,767,404"
CA,0
CA,"21,464"
OK,0
OK,"12,414,351"
OK,"662,321"
OK,"16,007,290"
AR,"1,224,850"
AR,"2,285,235"
AR,0
AR,"348,719"
CA,"23,136"
AR,"1,375,428"
AR,"775,123"
AR,0
AR,"1,824,031"
AR,"1,263"
AR,0
AR,"399,529"
AR,"2,468,901"
AR,"2,135,436"
AR,"9,471,782"
AR,"5,653,166"
AR,0
AR,0
AR,0
AR,"2,179,590"
AR,"172,585"
AR,0
IL,"87,069,596"
KS,"89,426,849"
CA,"33,670"
CA,"31,017"
CA,"324,460"
CA,"1,065,764"
CA,"1,284,289"
CA,"162,951"
CA,"169,327"
CA,"314,750"
CA,"1,405,134"
CA,"63,570"
CA,"236,347"
CA,"33,334"
CA,"1,098,052"
CA,"331,428"
CA,"160,721"
CA,"383,688"
CA,"1,446,286"
CA,"567,441"
CA,"254,292"
CA,"1,513,881"
CA,"875,486"
CA,"234,403"
CA,"246,889"
CA,"185,953"
CA,"20,984"
CA,"4,813,100"
CA,0
CA,"3,252,477"
CA,0
CA,"284,804"
CA,"56,151"
CA,0
CA,0
CA,"37,170,808"
CA,"88,794"
CA,"628,191"
CA,"47,264"
CA,"1,256,724"
CA,"1,666,159"
CA,"1,653,705"
CA,"4,113,257"
CA,"2,030,476"
CA,"2,484,996"
CA,"2,002,820"
CA,"23,559"
CA,"2,017,971"
CA,0
CA,"615,454"
CA,"144,069"
CA,"134,730"
CA,"53,755"
CA,"50,101"
CA,"125,700"
CA,"1,156,319"
CA,"40,509,101"
CA,"1,270,087"
CA,"207,304"
CA,"341,484"
CA,"349,419"
CA,"169,681"
CA,"551,758"
CA,"697,819"
CA,"72,726"
CA,"668,562"
TX,0
TX,"339,538"
TX,0
TX,"63,159,091"
UT,"1,868,085"
AK,"367,470"
CA,"102,742"
CA,"7,118,021"
CA,0
CA,"1,465,459"
CA,"891,917"
CA,"2,975,228"
CA,"1,374,181"
CA,"594,237"
CA,"2,157,158"
CA,"159,518"
CA,"168,045"
CA,"287,844"
CA,"77,234"
CA,"64,755"
CA,"29,689"
CA,"992,789"
CA,"20,865"
CA,0
CA,"390,108"
CA,"1,082,135"
CA,"262,993"
CA,"36,402"
CA,"2,594,963"
CA,"5,509,357"
CA,"140,144"
CA,"100,840"
CA,"3,322,408"
CA,"195,106"
CA,"639,776"
CA,"15,477,372"
CA,0
CA,"2,698"
WA,"88,765,185"
CA,"497,253"
CA,0
CA,"112,430"
CA,"263,965"
CA,0
CA,"1,550,551"
MN,"12,265"
CA,"3,064,356"
CA,"2,640,578"
CA,"2,852,553"
IL,"7,655,638"
IL,0
CA,"380,415"
CA,"357,473"
CA,"865,094"
